,n_hidden_layers,hidden_size,epochs,data_size,train_loss,val_loss,val_loss_initial_data,val_loss_boundary_data,val_loss_collocation,elapsed_time
0,3.0,80.0,50.0,80.0,0.00302,0.00273,0.00052,0.00058,0.00163,126.3908
1,3.0,80.0,50.0,100.0,0.00846,0.00896,0.00386,0.00235,0.00275,128.865
2,3.0,80.0,50.0,120.0,0.00988,0.00888,0.00297,0.00267,0.00324,128.14302
3,3.0,100.0,50.0,80.0,0.00207,0.00177,0.00018,0.00041,0.00118,159.69676
4,3.0,100.0,50.0,100.0,0.00846,0.00848,0.00297,0.0023,0.00321,159.56959
6,3.0,120.0,50.0,80.0,0.01059,0.01296,0.00644,0.00328,0.00323,183.63768
7,3.0,120.0,50.0,100.0,0.00562,0.0056,0.00182,0.00112,0.00267,183.31877
8,3.0,120.0,50.0,120.0,0.006,0.00555,0.00134,0.00131,0.00291,183.65893
9,5.0,80.0,50.0,80.0,0.01616,0.01418,0.00534,0.00428,0.00455,222.6758
10,5.0,80.0,50.0,100.0,0.01325,0.0127,0.00491,0.00311,0.00468,223.07073
11,5.0,80.0,50.0,120.0,0.0145,0.0166,0.00808,0.00422,0.00431,222.95097
12,5.0,100.0,50.0,80.0,0.00627,0.00683,0.00241,0.00156,0.00286,278.11786
13,5.0,100.0,50.0,100.0,0.00798,0.00733,0.00183,0.00157,0.00392,278.37374
15,5.0,120.0,50.0,80.0,0.00694,0.00658,0.00196,0.00165,0.00297,320.59008
16,5.0,120.0,50.0,100.0,0.0095,0.01341,0.00744,0.0028,0.00318,320.38816
